1960-01-12,40,25,32.5,0,0,0
1960-01-13,58,38,48,0.96,0,0
1960-01-14,44,35,39.5,0.1,0,0
1960-01-15,57,30,43.5,0.2,0,0
1960-01-16,35,18,26.5,T,T,T
1960-01-17,30,25,27.5,0.06,T,T
1960-01-18,38,28,33,0.02,0,0
1960-01-19,35,25,30,0.4,1,1
1960-01-20,27,18,22.5,0.1,1,2
1960-01-21,21,16,18.5,T,T,2
1960-01-22,22,14,18,0.05,0.8,3
1960-01-23,22,18,20,0.02,0.5,3
1960-01-24,28,14,21,T,T,3
1960-01-25,30,1,15.5,0,0,2
1960-01-26,39,27,33,T,0,2
1960-01-27,44,23,33.5,0,0,1
1960-01-28,39,34,36.5,T,0,T
1960-01-29,43,32,37.5,0.03,0,T
1960-01-30,42,22,32,0,0,0
1960-01-31,43,24,33.5,0,0,0
1960-02-01,40,19,29.5,0,0,0
1960-02-02,32,17,24.5,T,T,T
1961-01-01,36,29,32.5,0.71,5,8
1961-01-02,32,25,28.5,T,T,7
1961-01-03,29,14,21.5,0.01,T,7
1961-01-04,24,9,16.5,0.05,1.8,8
1961-01-05,40,13,26.5,T,T,8
1961-01-06,45,27,36,0,0,7
1961-01-07,47,23,35,0,0,5
1961-01-08,43,21,32,T,T,3
1961-01-09,25,15,20,T,T,3
1961-01-10,36,7,21.5,0,0,3
1961-01-11,44,6,25,0,0,2
1961-01-12,45,13,29,0,0,1
1961-01-13,51,15,33,0,0,1
1961-01-14,51,25,38,0,0,T
1961-01-15,39,30,34.5,0,0,T
1961-01-16,40,28,34,0.23,2,2
1961-01-17,38,28,33,0,0,1
1961-01-18,36,31,33.5,0.01,0,1
1961-01-19,31,18,24.5,0.04,0.5,1
1961-01-20,18,2,10,0.56,7.5,9
1961-01-21,18,-9,4.5,0,0,9
1961-01-22,13,-2,5.5,0.02,0.5,9
1961-01-23,20,-14,3,0.01,T,9
1961-01-24,20,0,10,0.04,1,8
1961-01-25,11,-22,-5.5,0.02,0.6,9
1961-01-26,15,-10,2.5,0,0,9
1961-01-27,16,3,9.5,0.15,2.7,11
1961-01-28,15,-13,1,0.01,0.4,11
1961-01-29,23,3,13,0,0,11
1961-01-30,20,8,14,T,T,11
1961-01-31,24,3,13.5,0.01,0.1,11
1961-02-01,22,11,16.5,0.13,2.5,13
1961-02-02,20,-26,-3,0,0,13
1962-01-01,31,17,24,0.02,0.3,2
1962-01-02,25,7,16,T,T,2
1962-01-03,40,23,31.5,0.01,0.3,2
1962-01-04,49,28,38.5,0,0,1
1962-01-05,42,26,34,0,0,T
1962-01-06,50,36,43,0.16,0,T
1962-01-07,52,31,41.5,0.39,0,0
1962-01-08,35,23,29,T,0.2,T
1962-01-09,23,10,16.5,0.05,0.7,1
1962-01-10,10,-5,2.5,0,0,T
1962-01-11,14,-2,6,0,0,T
1962-01-12,20,0,10,0,0,T
1962-01-13,29,-1,14,0,0,T
1962-01-14,50,11,30.5,0,0,T
1962-01-15,47,30,38.5,0,0,T
1962-01-16,35,21,28,0.47,T,0
1962-01-17,21,17,19,T,T,T
1962-01-18,25,4,14.5,0,0,0
1962-01-19,27,6,16.5,0,0,0
1962-01-20,27,21,24,0.17,2.2,2
1962-01-21,39,14,26.5,0.01,0.2,2
1962-01-22,52,36,44,0.59,0,0
1962-01-23,43,21,32,0.08,0,0
1962-01-24,46,10,28,0,0,0
1962-01-25,46,30,38,0,0,0
1962-01-26,46,24,35,0,0,0
1962-01-27,55,25,40,0.93,0,0
1962-01-28,30,17,23.5,0,0,0
1962-01-29,28,17,22.5,0.03,0.9,1
1962-01-30,39,10,24.5,0.06,0.5,T
1962-01-31,18,0,9,T,T,T
1962-02-01,26,17,21.5,0.02,0.8,1
1962-02-02,35,20,27.5,0.07,1,2
1963-01-01,21,-7,7,0,0,3
1963-01-02,26,10,18,0,0,3
1963-01-03,33,15,24,0,0,3
1963-01-04,35,22,28.5,0,0,2
1963-01-05,41,23,32,0,0,2
1963-01-06,36,26,31,0,0,2
1963-01-07,36,26,31,T,T,2
1963-01-08,34,31,32.5,0.05,T,2
1963-01-09,45,31,38,0,0,1
1963-01-10,54,23,38.5,0,0,1
1963-01-11,43,34,38.5,0.28,0,T
1963-01-12,47,35,41,0.3,0,T
1963-01-13,39,12,25.5,0.27,1,1
1963-01-14,23,7,15,0,0,1
1963-01-15,25,9,17,0,0,1
1963-01-16,29,7,18,T,T,1
1963-01-17,43,10,26.5,T,T,1
1963-01-18,47,18,32.5,0,0,T
1963-01-19,47,20,33.5,0,0,T
1963-01-20,47,31,39,0.27,0,T
1963-01-21,31,3,17,0.05,0,T
1963-01-22,35,5,20,T,T,T
1963-01-23,41,4,22.5,T,T,T
1963-01-24,5,-15,-5,0.11,2,2
1963-01-25,15,-4,5.5,0,0,2
1963-01-26,31,12,21.5,0,0,2
1963-01-27,25,9,17,0.38,6.4,8
1963-01-28,10,-5,2.5,0.01,0.2,8
1963-01-29,31,-22,4.5,0,0,7
1963-01-30,32,21,26.5,T,T,6
1963-01-31,25,7,16,0.1,1,7
1963-02-01,35,2,18.5,0,0,6
1963-02-02,41,26,33.5,0.01,0,5
1965-01-01,36,17,26.5,0,0,0
1965-01-02,53,34,43.5,0.77,T,0
1965-01-03,34,21,27.5,0.59,0.5,1
1965-01-04,30,21,25.5,0,0,T
1965-01-05,44,18,31,0,0,0
1965-01-06,42,28,35,0,0,0
1965-01-07,49,21,35,0,0,0
1965-01-08,59,40,49.5,0.93,0,0
1965-01-09,60,33,46.5,0.12,0,0
1965-01-10,33,28,30.5,0.08,0.3,T
1965-01-11,31,14,22.5,0.19,2.3,2
1965-01-12,36,19,27.5,0,0,2
1965-01-13,36,26,31,0,0,T
1965-01-14,31,6,18.5,0.23,2,3
1965-01-15,19,-3,8,T,T,3
1965-01-16,21,9,15,0.05,0.5,3
1965-01-17,14,-18,-2,0.03,0.3,3
1965-01-18,20,10,15,0.14,2,5
1965-01-19,23,-8,7.5,0.02,0.3,5
1965-01-20,33,14,23.5,0.02,0.4,5
1965-01-21,36,16,26,0.03,0.8,5
1965-01-22,43,12,27.5,0,0,3
1965-01-23,41,35,38,0.2,0,T
1965-01-24,39,35,37,1.02,0,T
1965-01-25,43,32,37.5,0.23,T,T
1965-01-26,54,29,41.5,0,0,0
1965-01-27,44,18,31,0.38,3,2
1965-01-28,29,10,19.5,T,T,T
1965-01-29,15,-2,6.5,0.12,2,3
1965-01-30,22,-7,7.5,0,0,3
1965-01-31,17,-8,4.5,0,0,2
1965-02-01,28,-1,13.5,0,0,1
1965-02-02,28,10,19,0.12,2,3
1966-01-01,62,39,50.5,0.2,0,0
1966-01-02,42,37,39.5,0.4,0,0
1966-01-03,43,34,38.5,0.94,0,0
1966-01-04,43,18,30.5,0,0,0
1966-01-05,51,15,33,0,0,0
1966-01-06,43,34,38.5,0.26,0,0
1966-01-07,40,32,36,0.36,0,0
1966-01-08,33,13,23,0.01,0.1,T
1966-01-09,30,3,16.5,0.03,0.5,1
1966-01-10,43,17,30,0,0,1
1966-01-11,39,14,26.5,0,0,T
1966-01-12,25,2,13.5,T,T,T
1966-01-13,39,15,27,0,0,T
1966-01-14,35,25,30,0.04,T,T
1966-01-15,34,26,30,0,0,T
1966-01-16,28,8,18,0,0,T
1966-01-17,24,17,20.5,0.01,0.2,T
1966-01-18,24,16,20,T,0.1,T
1966-01-19,25,11,18,0.01,0.7,1
1966-01-20,30,23,26.5,0.05,0.5,1
1966-01-21,41,24,32.5,0,0,1
1966-01-22,32,20,26,0,0,T
1966-01-23,30,26,28,0.8,9.8,10
1966-01-24,26,10,18,0.12,2.1,11
1966-01-25,31,-7,12,0,0,10
1966-01-26,22,9,15.5,0,0,8
1966-01-27,21,-6,7.5,0.03,0.5,8
1966-01-28,12,-5,3.5,0.03,0.6,8
1966-01-29,10,-21,-5.5,0,0,8
1966-01-30,12,7,9.5,0.3,3,11
1966-01-31,18,0,9,0.06,1.9,13
1966-02-01,23,10,16.5,0.02,0.5,12
1966-02-02,28,22,25,0.3,4,15
1967-01-01,42,27,34.5,0.02,0.2,T
1967-01-02,39,30,34.5,T,0,T
1967-01-03,40,17,28.5,0,0,T
1967-01-04,37,28,32.5,0,0,T
1967-01-05,28,10,19,0,0,T
1967-01-06,35,22,28.5,0,0,T
1967-01-07,49,31,40,0.02,0,T
1967-01-08,55,26,40.5,0.02,0,0
1967-01-09,31,20,25.5,0,0,0
1967-01-10,35,15,25,T,T,0
1967-01-11,28,22,25,T,T,T
1967-01-12,40,16,28,T,T,T
1967-01-13,44,23,33.5,T,T,0
1967-01-14,44,31,37.5,0,0,0
1967-01-15,42,28,35,0.02,0,0
1967-01-16,29,14,21.5,T,T,T
1967-01-17,39,21,30,T,T,0
1967-01-18,27,5,16,T,T,T
1967-01-19,32,4,18,0,0,0
1967-01-20,41,13,27,0,0,0
1967-01-21,49,16,32.5,0,0,0
1967-01-22,58,35,46.5,0,0,0
1967-01-23,62,40,51,0,0,0
1967-01-24,66,37,51.5,0,0,0
1967-01-25,67,39,53,0,0,0
1967-01-26,55,42,48.5,0.02,0,0
1967-01-27,55,35,45,0,0,0
1967-01-28,35,20,27.5,0.65,1,1
1967-01-29,28,18,23,0.05,2,3
1967-01-30,32,10,21,0.01,0.1,2
1967-01-31,38,6,22,0,0,1
1967-02-01,41,32,36.5,0.49,0,T
1967-02-02,56,32,44,0.02,0,T
1968-01-01,30,-3,13.5,0.38,3.8,7
1968-01-02,28,-4,12,0,0,7
1968-01-03,37,25,31,0.02,0.2,7
